False Positive Rate,True Positive Rate
0.083091787,0.451871658
0.083091787,0.446524064
0.085024155,0.451871658
0.085024155,0.467914439
0.086956522,0.467914439
0.086956522,0.470588235
0.088888889,0.470588235
0.089855072,0.473262032
0.09178744,0.473262032
0.09178744,0.478609626
0.092753623,0.478609626
0.092753623,0.481283422
0.093719807,0.486631016
0.093719807,0.481283422
0.09468599,0.489304813
0.09468599,0.486631016
0.095652174,0.489304813
0.095652174,0.49197861
0.096618357,0.49197861
0.096618357,0.494652406
0.099516908,0.494652406
0.099516908,0.5
0.100483092,0.5
0.100483092,0.502673797
0.101449275,0.502673797
0.101449275,0.513368984
0.102415459,0.513368984
0.102415459,0.516042781
0.103381643,0.518716578
0.103381643,0.516042781
0.10531401,0.518716578
0.10531401,0.524064171
0.107246377,0.524064171
0.107246377,0.532085561
0.112077295,0.532085561
0.112077295,0.534759358
0.114009662,0.534759358
0.114009662,0.537433155
0.114975845,0.537433155
0.114975845,0.542780749
0.116908213,0.545454545
0.116908213,0.542780749
0.11884058,0.545454545
0.11884058,0.548128342
0.122705314,0.548128342
0.122705314,0.553475936
0.123671498,0.553475936
0.123671498,0.561497326
0.124637681,0.561497326
0.124637681,0.572192513
0.125603865,0.572192513
0.125603865,0.580213904
0.1352657,0.580213904
0.1352657,0.585561497
0.136231884,0.598930481
0.136231884,0.585561497
0.139130435,0.598930481
0.139130435,0.601604278
0.139130435,0.606951872
0.139130435,0.609625668
0.143961353,0.609625668
0.143961353,0.614973262
0.14589372,0.614973262
0.14589372,0.620320856
0.148792271,0.620320856
0.148792271,0.631016043
0.149758454,0.64171123
0.149758454,0.631016043
0.154589372,0.64171123
0.154589372,0.655080214
0.157487923,0.655080214
0.157487923,0.657754011
0.164251208,0.657754011
0.164251208,0.660427807
0.165217391,0.660427807
0.165217391,0.663101604
0.167149758,0.663101604
0.167149758,0.665775401
0.168115942,0.671122995
0.168115942,0.665775401
0.169082126,0.671122995
0.169082126,0.673796791
0.171014493,0.673796791
0.171014493,0.681818182
0.171980676,0.681818182
0.17294686,0.689839572
0.175845411,0.689839572
0.175845411,0.697860963
0.179710145,0.697860963
0.179710145,0.703208556
0.180676329,0.703208556
0.180676329,0.705882353
0.184541063,0.70855615
0.184541063,0.705882353
0.185507246,0.713903743
0.185507246,0.70855615
0.191304348,0.713903743
0.191304348,0.721925134
0.193236715,0.721925134
0.193236715,0.72459893
0.201932367,0.72459893
0.201932367,0.727272727
0.203864734,0.727272727
0.203864734,0.729946524
0.206763285,0.729946524
0.206763285,0.732620321
0.209661836,0.732620321
0.209661836,0.743315508
0.211594203,0.756684492
0.211594203,0.751336898
0.211594203,0.743315508
0.211594203,0.745989305
0.21352657,0.756684492
0.21352657,0.762032086
0.214492754,0.762032086
0.214492754,0.764705882
0.218357488,0.764705882
0.218357488,0.767379679
0.219323671,0.767379679
0.223188406,0.767379679
0.225120773,0.770053476
0.225120773,0.767379679
0.228019324,0.770053476
0.228019324,0.772727273
0.231884058,0.772727273
0.231884058,0.77540107
0.236714976,0.77540107
0.236714976,0.778074866
0.238647343,0.778074866
0.238647343,0.780748663
0.239613527,0.780748663
0.246376812,0.788770053
0.250241546,0.79144385
0.250241546,0.788770053
0.257971014,0.79144385
0.257971014,0.799465241
0.270531401,0.799465241
0.270531401,0.802139037
0.274396135,0.802139037
0.274396135,0.804812834
0.277294686,0.804812834
0.277294686,0.810160428
0.279227053,0.810160428
0.279227053,0.815508021
0.28115942,0.815508021
0.28115942,0.818181818
0.285990338,0.823529412
0.285990338,0.818181818
0.287922705,0.823529412
0.287922705,0.826203209
0.300483092,0.826203209
0.300483092,0.828877005
0.30531401,0.828877005
0.30531401,0.839572193
0.307246377,0.839572193
0.307246377,0.842245989
0.311111111,0.842245989
0.311111111,0.844919786
0.327536232,0.844919786
0.328502415,0.852941176
0.328502415,0.847593583
0.331400966,0.852941176
0.331400966,0.855614973
0.33236715,0.855614973
0.33236715,0.85828877
0.339130435,0.85828877
0.339130435,0.860962567
0.341062802,0.860962567
0.341062802,0.863636364
0.342028986,0.863636364
0.343961353,0.863636364
0.344927536,0.86631016
0.344927536,0.863636364
0.348792271,0.86631016
0.348792271,0.868983957
0.349758454,0.868983957
0.349758454,0.871657754
0.350724638,0.871657754
0.350724638,0.874331551
0.354589372,0.874331551
0.354589372,0.877005348
0.356521739,0.877005348
0.356521739,0.879679144
0.369082126,0.882352941
0.369082126,0.879679144
0.370048309,0.882352941
0.370048309,0.885026738
0.373913043,0.885026738
0.373913043,0.887700535
0.382608696,0.887700535
0.382608696,0.890374332
0.384541063,0.890374332
0.384541063,0.893048128
0.408695652,0.893048128
0.408695652,0.901069519
0.409661836,0.901069519
0.409661836,0.903743316
0.410628019,0.903743316
0.410628019,0.906417112
0.412560386,0.911764706
0.412560386,0.906417112
0.425120773,0.911764706
0.42705314,0.911764706
0.42705314,0.914438503
0.450241546,0.914438503
0.450241546,0.917112299
0.463768116,0.917112299
0.463768116,0.919786096
0.465700483,0.919786096
0.46763285,0.922459893
0.472463768,0.922459893
0.472463768,0.92513369
0.476328502,0.927807487
0.476328502,0.92513369
0.477294686,0.927807487
0.479227053,0.927807487
0.480193237,0.927807487
0.480193237,0.93315508
0.482125604,0.93315508
0.482125604,0.935828877
0.485024155,0.935828877
0.485024155,0.938502674
0.492753623,0.938502674
0.492753623,0.941176471
0.496618357,0.943850267
0.496618357,0.941176471
0.519806763,0.946524064
0.519806763,0.943850267
0.543961353,0.946524064
0.543961353,0.949197861
0.547826087,0.949197861
0.547826087,0.951871658
0.554589372,0.951871658
0.554589372,0.954545455
0.556521739,0.954545455
0.556521739,0.957219251
0.573913043,0.957219251
0.573913043,0.962566845
0.575845411,0.962566845
0.575845411,0.965240642
0.582608696,0.967914439
0.582608696,0.965240642
0.583574879,0.967914439
0.583574879,0.970588235
0.584541063,0.970588235
0.584541063,0.975935829
0.587439614,0.975935829
0.587439614,0.978609626
0.594202899,0.978609626
0.594202899,0.981283422
0.600966184,0.981283422
0.600966184,0.983957219
0.618357488,0.986631016
0.618357488,0.983957219
0.621256039,0.986631016
0.621256039,0.989304813
0.642512077,0.989304813
0.642512077,0.99197861
0.702415459,0.99197861
0.702415459,0.994652406
0.73236715,0.994652406
0.734299517,0.994652406
0.747826087,0.994652406
0.749758454,0.994652406
0.778743961,0.994652406
0.781642512,0.994652406
0.812560386,0.994652406
0.814492754,0.994652406
0.84057971,0.994652406
0.84057971,0.997326203
0.858937198,0.997326203
0.860869565,0.997326203
0.861835749,0.997326203
0.863768116,0.997326203
